DRG Code,DRG Name/Description,Medical Specialty,Body System,Severity Level,Procedure Type,Cost Tier
003,ECMO or Tracheostomy with MV >96 Hours,Neurosurgery,Nervous System,Severe,Surgical,Very High
039,Extracranial Procedures,Otolaryngology,Ear Nose & Throat,Moderate,Surgical,High
057,Degenerative Nervous System Disorders with MCC,Neurology,Nervous System,Major,Medical,High
064,Intracranial Hemorrhage or Cerebral Infarction with MCC,Neurology,Nervous System,Minor,Medical,Medium
065,Intracranial Hemorrhage or Cerebral Infarction with CC,Neurology,Nervous System,Minor,Medical,Medium
066,Intracranial Hemorrhage or Cerebral Infarction without CC/MCC,Neurology,Nervous System,Minor,Medical,Medium
069,Transient Ischemia with MCC,Neurology,Nervous System,Major,Medical,High
074,Cranial and Peripheral Nerve Disorders,Ophthalmology,Eye,Moderate,Surgical,Medium
177,Respiratory Infections & Inflammations with MCC,Gastroenterology,Digestive System,Major,Medical,High
189,Pulmonary Edema & Respiratory Failure,Pulmonology,Respiratory System,Major,Medical,High
190,COPD with MCC,Pulmonology,Respiratory System,Moderate,Medical,High
191,COPD with CC,Pulmonology,Respiratory System,Minor,Medical,Medium
192,COPD without CC/MCC,Pulmonology,Respiratory System,Moderate,Medical,Medium
193,Simple Pneumonia & Pleurisy with MCC,Pulmonology,Respiratory System,Minor,Medical,Low
194,Simple Pneumonia & Pleurisy with CC,Pulmonology,Respiratory System,Minor,Medical,Low
195,Simple Pneumonia & Pleurisy without CC/MCC,Pulmonology,Respiratory System,Minor,Medical,Low
203,Bronchitis & Asthma with MCC,Pulmonology,Respiratory System,Minor,Medical,Low
207,Respiratory System Diagnosis with Ventilator Support,Pulmonology,Respiratory System,Major,Medical,High
208,Respiratory System Diagnosis with Ventilator Support <96 Hours,Pulmonology,Respiratory System,Moderate,Medical,Medium
216,Cardiac Valve Procedures with Cardiac Catheterization,Cardiac Surgery,Circulatory System,Severe,Surgical,Very High
218,Cardiac Valve Procedures without Cardiac Catheterization with MCC,Cardiac Surgery,Circulatory System,Major,Surgical,Very High
219,Cardiac Valve Procedures without Cardiac Catheterization with CC,Cardiac Surgery,Circulatory System,Severe,Surgical,Very High
220,Cardiac Valve Procedures without Cardiac Catheterization without CC/MCC,Cardiac Surgery,Circulatory System,Major,Surgical,Very High
221,Cardiac Defibrillator Implant with Cardiac Catheterization with MCC,Cardiac Surgery,Circulatory System,Moderate,Surgical,High
222,Cardiac Defibrillator Implant with Cardiac Catheterization without MCC,Cardiac Surgery,Circulatory System,Minor,Surgical,High
223,Cardiac Defibrillator Implant without Cardiac Catheterization with MCC,Cardiac Surgery,Circulatory System,Major,Surgical,Very High
224,Cardiac Defibrillator Implant without Cardiac Catheterization without MCC,Cardiac Surgery,Circulatory System,Moderate,Surgical,High
225,Cardiac Pacemaker Revision Except Device Replacement with MCC,Cardiac Surgery,Circulatory System,Minor,Surgical,High
226,Cardiac Pacemaker Revision Except Device Replacement with CC,Cardiac Surgery,Circulatory System,Major,Surgical,Very High
227,Cardiac Pacemaker Revision Except Device Replacement without CC/MCC,Cardiac Surgery,Circulatory System,Moderate,Surgical,High
228,Other Cardiothoracic Procedures with MCC,Cardiac Surgery,Circulatory System,Minor,Surgical,High
229,Other Cardiothoracic Procedures with CC,Cardiac Surgery,Circulatory System,Major,Surgical,Very High
230,Other Cardiothoracic Procedures without CC/MCC,Cardiac Surgery,Circulatory System,Moderate,Surgical,High
231,Coronary Bypass with PTCA with MCC,Cardiac Surgery,Circulatory System,Minor,Surgical,High
232,Coronary Bypass with PTCA without MCC,Cardiac Surgery,Circulatory System,Major,Surgical,High
233,Coronary Bypass with Cardiac Catheterization with MCC,Cardiology,Circulatory System,Moderate,Surgical,Medium
234,Coronary Bypass with Cardiac Catheterization without MCC,Cardiology,Circulatory System,Minor,Surgical,Medium
235,Coronary Bypass without Cardiac Catheterization with MCC,Cardiology,Circulatory System,Major,Surgical,High
236,Coronary Bypass without Cardiac Catheterization without MCC,Cardiology,Circulatory System,Moderate,Surgical,Medium
237,Major Cardiovascular Procedures with MCC,Cardiology,Circulatory System,Minor,Surgical,Medium
238,Major Cardiovascular Procedures without MCC,Cardiology,Circulatory System,Major,Surgical,High
239,Amputation for Circulatory System Disorders with MCC,Cardiology,Circulatory System,Moderate,Surgical,Medium
240,Amputation for Circulatory System Disorders with CC,Cardiology,Circulatory System,Minor,Surgical,Medium
241,Amputation for Circulatory System Disorders without CC/MCC,Cardiology,Circulatory System,Major,Surgical,High
242,Permanent Cardiac Pacemaker Implant with MCC,Cardiology,Circulatory System,Moderate,Surgical,Medium
243,Permanent Cardiac Pacemaker Implant with CC,Cardiology,Circulatory System,Minor,Surgical,Medium
244,Permanent Cardiac Pacemaker Implant without CC/MCC,Cardiology,Circulatory System,Major,Surgical,High
245,AICD Generator Procedures,Cardiology,Circulatory System,Moderate,Surgical,Medium
246,Percutaneous Cardiovascular Procedures with Drug-Eluting Stent with MCC,Cardiology,Circulatory System,Minor,Surgical,Medium
247,Percutaneous Cardiovascular Procedures with Drug-Eluting Stent without MCC,Vascular Surgery,Circulatory System,Major,Surgical,Very High
248,Percutaneous Cardiovascular Procedures with Non-Drug-Eluting Stent with MCC,Vascular Surgery,Circulatory System,Moderate,Surgical,High
249,Percutaneous Cardiovascular Procedures with Non-Drug-Eluting Stent without MCC,Vascular Surgery,Circulatory System,Minor,Surgical,High
250,Percutaneous Cardiovascular Procedures without Coronary Artery Stent with MCC,Vascular Surgery,Circulatory System,Major,Surgical,Very High
251,Percutaneous Cardiovascular Procedures without Coronary Artery Stent without MCC,Vascular Surgery,Circulatory System,Moderate,Surgical,High
252,Other Vascular Procedures with MCC,Vascular Surgery,Circulatory System,Minor,Surgical,High
253,Other Vascular Procedures with CC,Vascular Surgery,Circulatory System,Major,Surgical,Very High
254,Other Vascular Procedures without CC/MCC,Vascular Surgery,Circulatory System,Moderate,Surgical,High
280,Acute Myocardial Infarction Discharged Alive with MCC,Cardiology,Circulatory System,Major,Medical,High
281,Acute Myocardial Infarction Discharged Alive with CC,Cardiology,Circulatory System,Moderate,Medical,Medium
